986563	who was known as the heretic king	m
1048725	who plays the main character in night at the museum	n
801288	what is surrogate	n
338042	how popular is the name katie	f
327827	how much sleep in one day does a baby need	n
1016168	what type of books does karen hesse write?	f
76980	can you drink coffee before a mammogram	n
597005	what college did bill gates go to	m
1054406	who was jacqueline kennedy's social secretary	f
1097811	abbot definition	n
96525	concentra how old is a cat in one year.	n
959975	when was stalins response speech	m
990363	who is jennifer garner	f
1096536	how many weeks can a puppy get spayed	n
1028536	who influenced pablo picasso	m
1010849	what year did james still graduate	m
10945	actress who born at litrhuania	f
615213	what cow?	n
1090312	susan sarandon cup size	f
1035754	who is mark zuckerman	m
1046808	who played jake ryan	m
1058724	who wrote song yesterday when i was young	n
1003203	when was actor karthik born	m
1017784	which prep school did president kennedy attend	m
304257	how much did freddie mercury weigh	m
958905	when was mike tyson's last fight	m
1077213	what instruments did john denver play	m
988527	who is victoria lomba	f
337148	how old should your puppy be to get a rabies shot	n
787025	what is produced during mitosis	n
1063905	why did van halen break up	m
1055357	who was richard the lionhearted	m
1034970	who is king philip of spain	m
994010	which microscope were cells first observed	n
1054230	who was herodotus	m
1097366	how many children does alicia keys have	f
1019454	what team did bill russell coach	m
668089	what has obama really done for america	m
976587	"""where is alexander , kentucky ?"""	m
1093223	manual define	n
56709	bruce willis die hard movies	m
1038739	"""who is steve brown,  comedian?"""	m
998693	where is kobenhavn	n
143718	did demi moore have plastic surgery	f
1062409	age of jennifer lopez pregnant	f
939540	when did lou reed die	m
665005	what happened in cabo shooting	n
154155	distraction medical definition	n
1037674	who is richard henry less	m
394552	in what year is crepusculario published?	n
334850	how old is dolly p	f
868258	what kind of food did michael jackson like	m
175499	"""dr who,  shirley bessie"""	f
986959	who was bruce lee by jim gigliotti	m
1000463	where did vincent curve go to school	m
1099517	"""how did the progressive party get the name,  the bull moose party?"""	n
365176	how to insert pin iv bag	n
671350	what instrument did benjamin franklin invent?	m
1053608	who was chief joseph	m
1100101	has aly raisman boyfriend	f
1058332	what is coffin birth	n
335367	how old is joe scarborough	m
550077	what age are puppies ready to be sold	n
1002437	where was giles corey born	m
1056160	what is early childhood studies	n
1095169	how old is rex in xenoblade	m
565100	what are sojourners	n
1019323	which singer was named ambassador of youth and culture for the barbados>	n
1083425	what does mi stand for in accounting	n
651703	what does the name luna stand for	f
950818	when is jennifer hudson's birthday?	f
706972	what is abby lee ultimate dance	f
1002004	when will todd sharp coach be back on lifetime	m
854758	what is the year of birth of louis pasteur	m
1100583	filly definition	n
1081925	what experiment did james chadwick use	m
336838	how old is tom selleck	m
644932	what does otc stand for stripper	n
1012419	what was the date jack ruby shot lee harvey oswald?	m
989613	who is petunia pig?	n
1054249	what is halsey?	f
884578	"""what part of a plant contains the stigma,  style. and ovary"""	n
939152	when did jack kevorkian die	m
92225	christopher hemsworth	m
987962	who plays lauren in the gifted	f
334267	how old is alyson stoner	f
1085145	what day did terri schiavo die	f
1002765	where was katy perry born	f
1058382	who wrote i'm going down	n
1055082	who was pablo escobar	m
332953	how old are the members of fifth harmony	n
1002216	where was daniel radcliffe born	m
939586	when did mae jemison graduate	f
1041157	who is the nine-tailed fox?	n
998592	where is martin luther king jr's place	m
958773	when was master luther king junior was born	m
996419	where was linda lingle born	f
1094599	"""in flowers,  pollen is produced in the __________."""	n
1038523	what is the highest life expectancy	n
1051580	what is march for history month	n
754482	what is hemianopsia	n
1019461	what team derrick rose went too	m
956487	when was a netball ball invented	n
480494	price of a princess diana doll	f
1098568	how long did it take charles lindbergh to fly across the atlantic ocean	m
729507	what is chalk paint	n
1095234	how old is elle mckinnon	f
1055379	who was robert fulton	m
1095074	how rich is bill gates facts	m
1095184	how old is mary mcdonough	f
987037	who was booker washington	m
682958	what is a feature of grey matter	n
1038275	who is senator scalise	m
1000530	where did the fight ali fight larry holmes	m
1099977	hey how much does a hippo weigh.	n
1054708	who was king louis xvi?	m
900926	what temp do you cook pork to	n
957894	when was grant made lieutenant general	m
584099	what caused marilyn monroe's death?	f
1087656	what are drupes	n
160460	do you have to pay to get papers notarized?	n
1095002	how tall is robert wadlow?	m
666703	what happens to the chromosomes number as a result of meiosis	n
647526	what does scarring on the lungs mean	n
992315	who are the lotus-eaters	n
560465	what are intelligence tests	n
621075	what disease does michael phelps have	m
805619	what is the average age of a child to start potty train?	n
991345	who is alexander von humboldt	m
1096247	how much does a cow eat per day in kg?	n
1002692	where was john cage born in	m
969199	where did samuel adams live	m
597183	what colony did joseph hewes represent?	m
516710	the last scout cast	n
947227	when does oj simpson get released from jail	m
660368	what food gives you calcium	n
620242	what did the nineteenth amendment to the constitution do?	n
48563	banana goldfinger	n
1085147	what day did louis xvi of france died	m
898212	what state was rockefeller oil known in	m
990870	who is deuce gorgon	m
1055498	who was silence dogood	n
340459	how tall does a child have to be in a booster	n
1096755	how many points did michael jordan score in the flu game	m
1084984	what did st patrick drive out of ireland	m
863732	what is wwe diva maryse real name	f
213906	how did kennedy die	m
1012678	what was nathan chen's score for the short program	m
645676	what does pipe dream mean	n
1002535	where was hitler born and raised	m
765957	what is lindsey vonn net worth	f
1009535	what's george name	m
27812	at how many weeks in pregnancy should you not travel	n
270715	how long to get colostrum in calf	n
493870	scott newman actor	m
1074708	what is a deuce coupe	n
1095789	how much is terry hogan worth?	m
951430	when is oprah's birthday	f
1052843	who the richest	n
952642	when is the cutoff date for albums to be eligible for grammy award nomination?	n
1097283	how many days did king spend in jail for protesting in birmingham	m
1040079	what is the egfr	n
1092527	most decorated speed skater	n
983929	where is guthrie hospital located in new york	n
394551	in what year had youtube started	n
244393	how long do bunnies sleep	n
404424	is blake lively pregnant	f
1006571	when did mathew brady die	m
725089	what is body soul & spirit	n
1090545	soof meaning	n
1054190	what is hazlitt	n
1048482	who plays princess tiana	f
843617	what is the record for sneezing in a row	n
273003	how long until you can start showing symptoms of pregnancy	n
123659	define manly	n
1036109	who is mighty mike	m
1003112	where was paul mccartney born	m
1056682	who was the original jack abbott?	m
514103	the age of the oldest person in the world	n
1090885	sarah how many doors	f
497384	sick of a palsy biblical definition	n
1054134	what is hemophilia most found in	n
968670	where did frank lloyd wright live in wi	m
1047240	who played smokey floyd	m
1052598	what is john adams background?	m
1035665	who is margaret peterson haddix	f
1031367	who is chris griffin	m
498572	"""singer,  preacher,  tony fontaine"""	m
1095221	how old is heather locklear now	f
252003	how long does heat last for dogs	n
341116	how tall is mark thomas	m
143402	did bert convy die of aids?	m
498685	siree definition	n
999646	where in the world is george washington carver	m
961156	when was the first records of the usa	n
1042737	who is voldemort	m
1052277	what is kinsey most known for	m
985787	who was thomas edison's parents	m
1088830	was hera syndulla in clone wars?	f
1081050	yacht beatrix	n
579358	what body fat percentage is healthy	n
1024582	what movies has hailee steinfeld been in	f
1057035	who was trotsky?	m
548474	westboro mass demographics	n
963045	when was william h billy born	m
1005706	when did walt whitman live	m
1085051	what did audrey hepburn win oscar for?	f
1007771	"""when a chromosome pair fails to separate correctly in meiotic division,  what is it called"""	n
1001375	where are the dis	n
1086278	what caused steve holcomb's death	m
539625	was albert einstein married	m
987881	who plays mowgli in the new jungle book	m
619372	what did mark cuban pay for the mavericks	m
336676	how old is the actor who plays wolverine	m
1094486	in what year did harriet tubman escape from slavery?	f
744016	what is enhance	n
420810	is pete hegseth married	m
779480	what is one sheep called	n
802562	what is taylor lautner ethnicity	m
638084	what does gbs mean	n
1097202	how many eggs did cool hand luke	m
891340	what retailer sells victoria beckham?	f
927478	what year meap leaf rag began	n
1093380	before how long should i go for passport renewal	n
448058	meaning of joseph	m
